dataset,field,total,present,present_pct,non_empty,non_empty_pct,types_top3,anomalies
Zhilian,source,158,158,100.0%,158,100.0%,str:158,-
Zhilian,source_company,158,0,0.0%,0,0.0%,(absent),-
Zhilian,source_id,158,158,100.0%,158,100.0%,str:158,-
Zhilian,source_url,158,158,100.0%,158,100.0%,str:158,-
Zhilian,job_title_raw,158,158,100.0%,158,100.0%,str:158,-
Zhilian,company_name,158,158,100.0%,158,100.0%,str:158,-
Zhilian,location,158,158,100.0%,158,100.0%,str:158,-
Zhilian,salary,158,158,100.0%,112,70.9%,str:158,-
Zhilian,source_education,158,158,100.0%,158,100.0%,str:158,-
Zhilian,source_experience,158,158,100.0%,158,100.0%,str:158,-
Zhilian,publish_time,158,158,100.0%,14,8.9%,str:158,-
Zhilian,responsibilities,158,158,100.0%,158,100.0%,str:158,-
Zhilian,requirements,158,158,100.0%,158,100.0%,str:158,-
Zhilian,detail_raw_text,158,158,100.0%,158,100.0%,str:158,-
Zhilian,crawl_time,158,158,100.0%,158,100.0%,str:158,-
Zhilian,_sha256,158,158,100.0%,158,100.0%,str:158,-
Gold,source,110,110,100.0%,110,100.0%,str:110,-
Gold,source_company,110,0,0.0%,0,0.0%,(absent),-
Gold,source_id,110,110,100.0%,110,100.0%,str:110,-
Gold,source_url,110,110,100.0%,110,100.0%,str:110,-
Gold,job_title_raw,110,110,100.0%,110,100.0%,str:110,-
Gold,company_name,110,110,100.0%,110,100.0%,str:110,-
Gold,location,110,110,100.0%,110,100.0%,str:110,-
Gold,salary,110,0,0.0%,0,0.0%,(absent),-
Gold,source_education,110,110,100.0%,110,100.0%,str:110,-
Gold,source_experience,110,110,100.0%,110,100.0%,str:110,-
Gold,publish_time,110,0,0.0%,0,0.0%,(absent),-
Gold,responsibilities,110,110,100.0%,110,100.0%,str:110,-
Gold,requirements,110,110,100.0%,109,99.1%,str:109,-
Gold,detail_raw_text,110,110,100.0%,110,100.0%,str:110,-
Gold,crawl_time,110,0,0.0%,0,0.0%,(absent),-
Gold,_sha256,110,0,0.0%,0,0.0%,(absent),-
Gold,review_gold_title,110,0,0.0%,0,0.0%,(absent),-
Gold,review_gold_skills,110,0,0.0%,0,0.0%,(absent),-
Gold,review_gold_bonus_skills,110,0,0.0%,0,0.0%,(absent),-
Gold,review_gold_experience,110,0,0.0%,0,0.0%,(absent),-
Gold,review_gold_education,110,0,0.0%,0,0.0%,(absent),-
Gold,review_gold_core_duties,110,0,0.0%,0,0.0%,(absent),-
Official,source,50,50,100.0%,50,100.0%,str:50,-
Official,source_company,50,50,100.0%,50,100.0%,str:50,-
Official,source_id,50,50,100.0%,50,100.0%,str:50,-
Official,source_url,50,50,100.0%,50,100.0%,str:50,-
Official,job_title_raw,50,50,100.0%,50,100.0%,str:50,-
Official,company_name,50,50,100.0%,50,100.0%,str:50,-
Official,location,50,50,100.0%,50,100.0%,str:50,-
Official,salary,50,50,100.0%,0,0.0%,(absent),-
Official,source_education,50,50,100.0%,0,0.0%,(absent),-
Official,source_experience,50,50,100.0%,10,20.0%,str:10,-
Official,publish_time,50,50,100.0%,25,50.0%,str:25,-
Official,responsibilities,50,50,100.0%,50,100.0%,str:50,-
Official,requirements,50,50,100.0%,50,100.0%,str:50,-
Official,detail_raw_text,50,50,100.0%,50,100.0%,str:50,-
Official,crawl_time,50,50,100.0%,50,100.0%,str:50,-
Official,_sha256,50,50,100.0%,50,100.0%,str:50,-
