dataset,job_family,count,pct
Zhilian,全栈,19,12.0%
Zhilian,前端,11,7.0%
Zhilian,后端,22,13.9%
Zhilian,AI/LLM,6,3.8%
Zhilian,算法,14,8.9%
Zhilian,数据工程/大数据,9,5.7%
Zhilian,数据分析,9,5.7%
Zhilian,测试,11,7.0%
Zhilian,运维/DevOps,12,7.6%
Zhilian,嵌入式/C++,16,10.1%
Zhilian,网络/安全,2,1.3%
Zhilian,客户端,0,0.0%
Zhilian,其他,27,17.1%
Gold,全栈,13,11.8%
Gold,前端,9,8.2%
Gold,后端,17,15.5%
Gold,AI/LLM,3,2.7%
Gold,算法,11,10.0%
Gold,数据工程/大数据,8,7.3%
Gold,数据分析,5,4.5%
Gold,测试,4,3.6%
Gold,运维/DevOps,10,9.1%
Gold,嵌入式/C++,11,10.0%
Gold,网络/安全,2,1.8%
Gold,客户端,0,0.0%
Gold,其他,17,15.5%
Official,全栈,1,2.0%
Official,前端,2,4.0%
Official,后端,9,18.0%
Official,AI/LLM,8,16.0%
Official,算法,5,10.0%
Official,数据工程/大数据,2,4.0%
Official,数据分析,0,0.0%
Official,测试,2,4.0%
Official,运维/DevOps,1,2.0%
Official,嵌入式/C++,0,0.0%
Official,网络/安全,0,0.0%
Official,客户端,2,4.0%
Official,其他,18,36.0%
