dataset,source_id,issue,title,extra
Zhilian,CC000544460J40791295516,resp_req_high_overlap_sim0.90,测试（浦发银行项目）,软通动力信息技术(集团)股份有限公司
Gold,CC148739350J40212149403,requirements_EMPTY,单片机工程师,北京航峰科伟装备技术股份有限公司
Gold,CC148739350J40212149403,detail_pure_duplicate_of_resp,单片机工程师,北京航峰科伟装备技术股份有限公司
Official,7616657487282604341,detail_shorter_than_resp_req_both_len(371vs648),后端开发工程师（企业服务系统）-集团信息系统,北京字节跳动网络技术有限公司
Official,7437072515455338760,detail_shorter_than_resp_req_both_len(339vs625),C++客户端工程师-豆包,北京字节跳动网络技术有限公司
Official,7387022251432053001,detail_shorter_than_resp_req_both_len(447vs744),后端研发工程师（大模型）-火山引擎,北京字节跳动网络技术有限公司
Official,7547297302650554631,detail_shorter_than_resp_req_both_len(523vs876),大模型算法研究员-Data AML,北京字节跳动网络技术有限公司
Official,7317876192189761801,detail_shorter_than_resp_req_both_len(504vs788),NLP算法工程师-抖音对话机器人,北京字节跳动网络技术有限公司
Official,7581491171309177093,detail_shorter_than_resp_req_both_len(708vs1062),豆包大模型算法工程师-火山方舟,北京字节跳动网络技术有限公司
Official,7312024410460801290,detail_shorter_than_resp_req_both_len(419vs711),高级前端开发工程师（大模型方向）-Data AML,北京字节跳动网络技术有限公司
Official,6993206150566480141,detail_shorter_than_resp_req_both_len(730vs1012),大数据研发高级工程师/专家-AI应用与创新,北京字节跳动网络技术有限公司
Official,2041847334320631808,detail_shorter_than_resp_req_both_len(473vs1221),元宝数据平台-后台开发工程师,腾讯
Official,2080544639538081792,detail_shorter_than_resp_req_both_len(893vs3249),AI大模型架构师,腾讯
Official,2088194595539304448,detail_shorter_than_resp_req_both_len(541vs778),风控算法工程师,腾讯
Official,1904008033529323520,detail_shorter_than_resp_req_both_len(514vs2353),微信小店-测试开发工程师,腾讯
Official,2059948187954888704,detail_shorter_than_resp_req_both_len(810vs2537),微信基础-大数据工程师-AI方向,腾讯
Official,2077641015354896384,detail_shorter_than_resp_req_both_len(1795vs3594),边缘基础设施运维工程师,腾讯
Official,7663333383728597301,future_publish_time,大模型技术服务专家 - 火山引擎,2026-11-15T00:00:00.000Z
Official,7660694249809692981,future_publish_time,Infra开发工程师-全球流量基础设施,2026-11-08T00:00:00.000Z
