sample_id,source_id,job_title_raw,job_category,annotation_split
ANN-0001,CC000129350J40854346901,大数据平台开发工程师(J10846),数据工程/大数据,primary
ANN-0002,CC000413680J40781157513,前端开发工程师(004434),前端开发,primary
ANN-0003,CC000544460J40834811616,系统运维工程师,运维/DevOps,primary
ANN-0004,CC000544460J40837467916,AI 智能体解决方案架构师-base不限-出差,AI/大模型,primary
ANN-0005,CC000564270J40377428704,ETL数据工程师（校招）,数据工程/大数据,primary
ANN-0006,CC000571490J40867139611,数据分析工程师,数据分析,primary
ANN-0007,CC000603700J40869253211,系统架构师,后端开发,primary
ANN-0008,CC000638920J40794963414,web前端工程师,AI/大模型,primary
ANN-0009,CC120160390J40799408616,flink大数据开发,数据工程/大数据,primary
ANN-0010,CC120174080J40873736814,web前端工程师,前端开发,primary
ANN-0011,CC120188730J40929155512,软件架构师,其他技术岗,primary
ANN-0012,CC120718860J40874792414,Python应用开发工程师（流媒体/视频平台方向）,算法,primary
ANN-0013,CC120849470J40683660301,数据工程师,数据工程/大数据,primary
ANN-0014,CC131321010J40837210609,数据分析工程师,数据分析,primary
ANN-0015,CC134310320J40391957406,DevOps运维开发工程师,运维/DevOps,primary
ANN-0016,CC135794170J41002479902,英语高级Python 全栈工程师（AI 原生/RAG）,AI/大模型,primary
ANN-0017,CC136211330J40899642903,资深运维工程师（K8s云原生&DevOps方向）,运维/DevOps,primary
ANN-0018,CC138117190J40879917005,JAVA开发工程师,后端开发,primary
ANN-0019,CC138718430J40881896414,数据分析工程师,AI/大模型,primary
ANN-0020,CC143806550J40634430514,Python工程师,算法,primary
ANN-0021,CC143806550J40881203214,信息安全运维工程师,运维/DevOps,primary
ANN-0022,CC147646000J40882085014,java后端工程师,后端开发,primary
ANN-0023,CC148739350J40212149403,单片机工程师,嵌入式/C++,primary
ANN-0024,CC172215210J40841006907,技术架构师,后端开发,primary
ANN-0025,CC182896220J40680696016,web前端工程师（中级）,前端开发,primary
ANN-0026,CC188184510J40889016408,业务功能测试工程师,测试,primary
ANN-0027,CC193399810J40866381207,算法工程师,AI/大模型,primary
ANN-0028,CC249428210J41017876704,算法工程师,AI/大模型,primary
ANN-0029,CC255244630J40928632512,Go开发工程师,后端开发,primary
ANN-0030,CC257684730J40941901404,全栈开发,全栈开发,primary
ANN-0031,CC261547480J40380184511,C++开发工程师,后端开发,primary
ANN-0032,CC278068810J40999547504,数据分析及应用工程师,数据分析,primary
ANN-0033,CC295757880J40903273713,java软件开发工程师,后端开发,primary
ANN-0034,CC303218880J40962177002,水声算法工程师,算法,primary
ANN-0035,CC375739230J40792294211,风控java开发工程师,后端开发,primary
ANN-0036,CC376642810J41014433902,产品技术总监（特种机器人）,其他技术岗,primary
ANN-0037,CC383625320J40843453109,前端开发实习生（AI产品方向）,AI/大模型,primary
ANN-0038,CC383625320J40872939309,算法数据开发工程师,算法,primary
ANN-0039,CC385403120J40838093411,python大数据讲师,数据工程/大数据,primary
ANN-0040,CC385622410J40779159906,功能测试/性能测试,测试,primary
ANN-0041,CC394851980J40866261003,web前端工程师,前端开发,primary
ANN-0042,CC443657520J40751315109,软件测试工程师,测试,primary
ANN-0043,CC453635220J40916464003,AI大数据分析工程师,算法,primary
ANN-0044,CC456313120J40878679509,数据分析与运营工程师,数据分析,primary
ANN-0045,CC459564120J40928265512,Rust/C++嵌入式开发工程师,嵌入式/C++,primary
ANN-0046,CC462451910J40897818203,大数据开发,数据工程/大数据,primary
ANN-0047,CC462451910J40910680303,功能测试,测试,primary
ANN-0048,CC478410210J40870006910,高级系统架构师-2026第一批社会招聘（云原生部）,运维/DevOps,primary
ANN-0049,CC495147320J40868105911,运筹优化算法工程师,算法,primary
ANN-0050,CC552355480J40906710603,嵌入式开发工程师,嵌入式/C++,primary
ANN-0051,CC557155320J40898912903,智能开发工程师AI(wai包)熟悉Java python go typescript,AI/大模型,primary
ANN-0052,CC557155320J40915413203,python爬虫工程师AI(WAI派),AI/大模型,primary
ANN-0053,CC656513120J40871631601,高级安全运维工程师,运维/DevOps,primary
ANN-0054,CC679989880J40869068405,算法工程师,算法,primary
ANN-0055,CC810359440J40062515307,机器学习算法工程师,算法,primary
ANN-0056,CC832614090J40782990506,AI模型聚合平台后端开发工程师（Go）,后端开发,primary
ANN-0057,CC835956140J40983967004,推荐算法工程师,算法,primary
ANN-0058,CC836014720J40823997814,大模型算法工程师,AI/大模型,primary
ANN-0059,CC840487120J40871417907,网络信息安全工程师,网络/安全,primary
ANN-0060,CC845032460J40794958608,全栈工程师,AI/大模型,primary
ANN-0061,CC850829750J40848317113,嵌入式开发工程师（深圳）,嵌入式/C++,primary
ANN-0062,CC862522050J40881983310,运维工程师,运维/DevOps,primary
ANN-0063,CC873962440J40800922410,算法工程师（视频）需出差采数据,算法,primary
ANN-0064,CC886026430J40879644610,嵌入式开发工程师,嵌入式/C++,primary
ANN-0065,CCL1220151830J40864894907,Python全栈开发工程师（应届生亦可）,全栈开发,primary
ANN-0066,CCL1225736220J40927069408,数据治理与AI应用开发工程师,数据工程/大数据,primary
ANN-0067,CCL1234040390J40952894008,开发工程师（Docker/K8S/多云运维）,运维/DevOps,primary
ANN-0068,CCL1307987640J40903707203,芯片平台系统/驱动开发工程师（Linux/BSP方向）,嵌入式/C++,primary
ANN-0069,CCL1314982440J40794817806,研发交付工程师（后端开发）,后端开发,primary
ANN-0070,CCL1318355140J40900184403,"应用开发岗（C++、java、phthon,golong）",后端开发,primary
ANN-0071,CCL1332618260J40773679310,AI 算法工程师,AI/大模型,primary
ANN-0072,CCL1348335210J40903270015,全栈工程师,全栈开发,primary
ANN-0073,CCL1357433570J40881150409,嵌入式开发工程师,嵌入式/C++,primary
ANN-0074,CCL1373505060J40854209001,运营技术岗（网络安全方向）,网络/安全,primary
ANN-0075,CCL1378358350J40796301606,java数据开发工程师,数据工程/大数据,primary
ANN-0076,CCL1381188730J41028477004,嵌入式开发工程师,嵌入式/C++,primary
ANN-0077,CCL1384980490J40945728904,多模态理解与生成前沿算法研究员,AI/大模型,primary
ANN-0078,CCL1398581540J40888064805,前端开发实习生,前端开发,primary
ANN-0079,CCL1410240590J40822068716,大数据与人工智能算法工程师,算法,primary
ANN-0080,CCL1445438580J40871596714,全栈开发师,全栈开发,primary
ANN-0081,CCL1452950980J40717907506,大模型算法工程师,AI/大模型,primary
ANN-0082,CCL1455286360J40791249606,高级嵌入式开发工程师,嵌入式/C++,primary
ANN-0083,CCL1480117890J40603130605,Java/Python/C/C++/数开/测试/算法/前端岗,算法,primary
ANN-0084,CCL1486348840J40925273312,传感器/嵌入式开发工程师,嵌入式/C++,primary
ANN-0085,CCL1509543100J40871596007,运维工程师,运维/DevOps,primary
ANN-0086,CCL1510050530J40942130302,web前端工程师,前端开发,primary
ANN-0087,CCL1516918430J40789275606,急招运维+java,运维/DevOps,primary
ANN-0088,CCL1517097290J40833343909,全栈软件工程师,全栈开发,primary
ANN-0089,CCL1521684100J41021047104,高级嵌入式开发工程师,嵌入式/C++,primary
ANN-0090,CCL1521684100J41021050804,java后端开发工程师,后端开发,primary
ANN-0091,CCL1522278240J40788260306,Java全栈开发工程师（偏后端·甲方长期驻场）,全栈开发,primary
ANN-0092,CCL1523503100J40959823915,Java初级后端开发工程师,后端开发,primary
ANN-0093,CCL1524168950J40937189208,后端开发工程师JAVA,后端开发,primary
ANN-0094,CCL1524387900J40910708203,java后端开发工程师,后端开发,primary
ANN-0095,CCL1525690640J40877079110,全栈高级开发工程师,全栈开发,primary
ANN-0096,CCL1525835080J40859190311,java后端开发工程师,后端开发,primary
ANN-0097,CCL1526038230J40786582906,Java/后端开发工程师,后端开发,primary
ANN-0098,CCL1526478020J40875953614,python开发工程师,后端开发,primary
ANN-0099,CCL1526534040J40790152006,java后端开发工程师,后端开发,primary
ANN-0100,CCL1526534040J40790155806,java后端开发,后端开发,primary
ANN-0101,CCL1526540430J40922304512,后端开发工程师,后端开发,primary
ANN-0102,CCL1526551420J40865494407,初级全栈工程师,全栈开发,primary
ANN-0103,CCL1526694650J40791325106,java后端开发工程师,后端开发,primary
ANN-0104,CCL1526781100J40898273113,web全栈工程师,全栈开发,primary
ANN-0105,CCL1526795180J40865068511,java后端开发工程师,后端开发,primary
ANN-0106,CCL1526815960J40958116015,php全栈工程师,全栈开发,primary
ANN-0107,CCL1526911050J40958794815,java全栈工程师（周末双休+入职社保）,全栈开发,primary
ANN-0108,CCL1526956520J40924970212,java后端开发工程师,后端开发,primary
ANN-0109,CCL1527322060J40880445210,后端java工程师,后端开发,primary
ANN-0110,CCL1527328120J40837670116,java后端开发,后端开发,primary
RES-0001,CC120019970J40795218603,java开发工程师,后端开发,reserve
RES-0002,CC120160390J40837349416,云平台运维中级工程师,运维/DevOps,reserve
RES-0003,CC120399300J40961780915,智驾-运维工程师,运维/DevOps,reserve
RES-0004,CC120718860J40871672514,Python开发工程师,后端开发,reserve
RES-0005,CC120834970J40824590302,2026-智能技术中心-大模型算法工程师,AI/大模型,reserve
RES-0006,CC293040080J40827936716,web前端工程师,前端开发,reserve
RES-0007,CC337626410J40871368710,c/c++开发（本科-金融安全）,网络/安全,reserve
RES-0008,CC427775130J40886063415,H5前端工程师,前端开发,reserve
RES-0009,CC507265720J40410246201,机器学习算法工程师,算法,reserve
RES-0010,CC526342880J40745991106,大模型Agent算法工程师,AI/大模型,reserve
RES-0011,CC542783320J40951851315,Java开发工程师-中间件网关(J16976),后端开发,reserve
RES-0012,CC581406530J40875189814,数据治理工程师（汽车时序数据&供应链数据方向）,数据工程/大数据,reserve
RES-0013,CC630616520J40945654608,大数据开发工程师（国企、自研）,数据工程/大数据,reserve
RES-0014,CC651740820J40779941812,数据分析,算法,reserve
RES-0015,CC892459390J40843928611,dsp嵌入式开发工程师,嵌入式/C++,reserve
RES-0016,CCL1305428420J41028466504,嵌入式软件工程师【单片机方向】,嵌入式/C++,reserve
RES-0017,CCL1312038980J40791055606,数据分析专家,数据分析,reserve
RES-0018,CCL1492648310J40744145308,ai算法工程师,AI/大模型,reserve
RES-0019,CCL1508443460J40839361711,电池大数据智能算法工程师,算法,reserve
RES-0020,CCL1509787070J40807488811,测试工程师,测试,reserve
RES-0021,CCL1523711540J40942229815,Java 后端开发工程师,后端开发,reserve
RES-0022,CCL1524327650J40856017007,全栈Java开发工程师,全栈开发,reserve
RES-0023,CCL1526428130J40925070912,Java后端开发工程师,后端开发,reserve
RES-0024,CCL1527179960J40867440011,Golang 后端开发工程师（体育资讯方向）,后端开发,reserve
RES-0025,CCL1527328120J40837670316,web全栈工程师,全栈开发,reserve
