"id","source","source_id","job_title_raw","original_raw_text","current_gold_title","review_gold_title","current_gold_skills","review_gold_skills","current_gold_bonus_skills","review_gold_bonus_skills","current_gold_experience","review_gold_experience","current_gold_education","review_gold_education","current_gold_core_duties","review_gold_core_duties","error_type","review_status","review_note"
"jd_001","boss","22c64d465b4b5d030nJ709u5F1tQ","Python开发实习生","{""jobName"": ""Python开发实习生"", ""salaryDesc"": ""200-220元/天"", ""jobLabels"": [""5天/周"", ""3个月"", ""本科""], ""jobValidStatus"": 1, ""iconWord"": """", ""skills"": [""Django"", ""MySQL"", ""Python""], ""jobExperience"": """", ""daysPerWeekDesc"": ""5天/周"", ""leastMonthDesc"": ""3个月"", ""jobDegree"": ""本科"", ""cityName"": ""北京"", ""areaDistrict"": ""海淀区"", ""businessDistrict"": ""上地"", ""jobType"": 4, ""proxyJob"": 0, ""proxyType"": 0, ""anonymous"": 0, ""outland"": 0, ""optimal"": 0, ""iconFlagList"": [], ""city"": 101010100, ""isShield"": 0, ""atsDirectPost"": false, ""afterNameIcons"": [], ""beforeNameIcons"": [], ""brandName"": ""清能互联科技"", ""brandLogo"": ""https://img.bosszhipin.com/beijin/mcs/chatphoto/20170418/567eff5c68ba142d2ca2d0b0756e77f1641bff90f9be07392a4ad3f752be6ff4.jpg"", ""brandStageName"": ""C轮"", ""brandIndustry"": ""计算机软件"", ""brandScaleName"": ""500-999人"", ""welfareList"": [""带薪年假"", ""年终奖"", ""通讯补贴"", ""股票期权"", ""零食下午茶"", ""定期体检"", ""餐补"", ""五险一金"", ""节日福利""], ""industry"": 100021, ""showTopPosition"": false}","Python开发实习生","","[""Django"",""MySQL"",""Python""]","","[]","","{""min_years"":0,""max_years"":null}","","本科","","[""负责后端服务设计与开发"",""参与系统架构设计与性能优化""]","","","",""
"jd_003","boss","ec6ac1027510acc90nF43N-1F1pW","python（优秀26届可投+全程线上）","{""jobName"": ""python（优秀26届可投+全程线上）"", ""salaryDesc"": ""15-30K·16薪"", ""jobLabels"": [""经验不限"", ""本科""], ""jobValidStatus"": 1, ""iconWord"": """", ""skills"": [""Python"", ""Django"", ""Flask"", ""Scrapy"", ""MySQL"", ""Oracle"", ""MongoDB"", ""Linux开发/部署经验"", ""机器学习经验"", ""云计算经验"", ""分布式经验"", ""微服务经验""], ""jobExperience"": ""经验不限"", ""daysPerWeekDesc"": """", ""leastMonthDesc"": """", ""jobDegree"": ""本科"", ""cityName"": ""北京"", ""areaDistrict"": """", ""businessDistrict"": """", ""jobType"": 0, ""proxyJob"": 1, ""proxyType"": 1, ""anonymous"": 101, ""outland"": 0, ""optimal"": 0, ""iconFlagList"": [8], ""city"": 101010100, ""isShield"": 0, ""atsDirectPost"": false, ""afterNameIcons"": [], ""beforeNameIcons"": [""https://img.bosszhipin.com/static/file/2022/cy4fi6cada1655206055291.png""], ""brandName"": ""深圳某大型计算机软件公司"", ""brandLogo"": ""https://img.bosszhipin.com/beijin/app/mobile/n-af8dd288f86448d9eaaf3a4b0fd60b27.png"", ""brandStageName"": ""不需要融资"", ""brandIndustry"": ""计算机软件"", ""brandScaleName"": ""10000人以上"", ""welfareList"": [""员工旅游"", ""加班补助"", ""年终奖"", ""带薪年假"", ""补充医疗保险"", ""保底工资"", ""零食下午茶"", ""五险一金"", ""团建聚餐"", ""定期体检"", ""免费班车"", ""离职补偿"", ""法定节假日三薪"", ""生日福利"", ""交通补助"", ""股票期权"", ""绩效奖金"", ""夜班补助"", ""节日福利"", ""节假日加班费""], ""industry"": 100021, ""showTopPosition"": false}","python","","[""Python"",""Django"",""Flask"",""Scrapy"",""MySQL"",""Oracle"",""MongoDB"",""Linux开发/部署经验"",""机器学习经验"",""云计算经验"",""分布式经验"",""微服务经验""]","","[]","","{""min_years"":0,""max_years"":null}","","本科","","[""负责相关软件系统的设计与开发""]","","","",""
"jd_008","boss","d5c7c9a54364b5d90nZ42di-EFdW","大模型算法工程师","{""jobName"": ""大模型算法工程师"", ""salaryDesc"": ""20-21K"", ""jobLabels"": [""1年以内"", ""本科""], ""jobValidStatus"": 1, ""iconWord"": """", ""skills"": [""深度学习"", ""机器学习"", ""大模型算法"", ""强化学习"", ""自然语言处理算法"", ""风控算法"", ""其他"", ""C/C++"", ""Python"", ""Java"", ""大数据处理框架(Spark/Hadoop/Hive)"", ""其他"", ""算法工程化经验"", ""发表算法相关优秀论文"", ""参加算法相关竞赛/获奖"", ""团队管理经验"", ""优秀开源项目经历"", ""大模型 AI产品开发""], ""jobExperience"": ""1年以内"", ""daysPerWeekDesc"": """", ""leastMonthDesc"": """", ""jobDegree"": ""本科"", ""cityName"": ""北京"", ""areaDistrict"": ""昌平区"", ""businessDistrict"": ""回龙观"", ""jobType"": 0, ""proxyJob"": 0, ""proxyType"": 0, ""anonymous"": 0, ""outland"": 0, ""optimal"": 0, ""iconFlagList"": [], ""city"": 101010100, ""isShield"": 0, ""atsDirectPost"": false, ""afterNameIcons"": [], ""beforeNameIcons"": [], ""brandName"": ""中金享"", ""brandLogo"": ""https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png"", ""brandStageName"": ""不需要融资"", ""brandIndustry"": ""其他专业服务"", ""brandScaleName"": ""0-20人"", ""welfareList"": [""全勤奖"", ""加班补助"", ""五险一金"", ""节日福利"", ""交通补助"", ""年终奖""], ""industry"": 100608, ""showTopPosition"": false}","大模型算法工程师","","[""深度学习"",""机器学习"",""大模型算法"",""强化学习"",""自然语言处理算法"",""风控算法"",""其他"",""C/C++"",""Python"",""Java"",""大数据处理框架(Spark/Hadoop/Hive)"",""算法工程化经验"",""发表算法相关优秀论文"",""参加算法相关竞赛/获奖"",""团队管理经验"",""优秀开源项目经历"",""大模型 AI产品开发""]","","[]","","{""min_years"":0,""max_years"":null}","","本科","","[""负责机器学习算法的设计、训练与优化"",""参与模型工程化部署与性能调优""]","","","",""
"jd_009","boss","ca5a8bba6ccb41e10nJ609m7GFRR","自动驾驶算法工程师","{""jobName"": ""自动驾驶算法工程师"", ""salaryDesc"": ""50-80K"", ""jobLabels"": [""1年以内"", ""本科""], ""jobValidStatus"": 1, ""iconWord"": """", ""skills"": [], ""jobExperience"": ""1年以内"", ""daysPerWeekDesc"": """", ""leastMonthDesc"": """", ""jobDegree"": ""本科"", ""cityName"": ""北京"", ""areaDistrict"": """", ""businessDistrict"": """", ""jobType"": 0, ""proxyJob"": 1, ""proxyType"": 1, ""anonymous"": 1, ""outland"": 0, ""optimal"": 0, ""iconFlagList"": [2], ""city"": 101010100, ""isShield"": 0, ""atsDirectPost"": false, ""afterNameIcons"": [], ""beforeNameIcons"": [""https://img.bosszhipin.com/static/file/2022/pvmr2v0l8i1655206532429.png""], ""brandName"": ""某500强上市公司"", ""brandLogo"": ""https://img.bosszhipin.com/beijin/app/mobile/n-af8dd288f86448d9eaaf3a4b0fd60b27.png"", ""brandStageName"": ""D轮及以上"", ""brandIndustry"": ""电子商务"", ""brandScaleName"": ""1000-9999人"", ""welfareList"": [""住房补贴"", ""零食下午茶"", ""五险一金"", ""生日福利"", ""加班补助"", ""股票期权"", ""包吃"", ""年终奖"", ""带薪年假"", ""餐补"", ""团建聚餐"", ""定期体检""], ""industry"": 100001, ""showTopPosition"": false}","自动驾驶算法工程师","","[""1年以内""]","","[]","","{""min_years"":0,""max_years"":null}","","本科","","[""负责机器学习算法的设计、训练与优化"",""参与模型工程化部署与性能调优""]","","","",""
"jd_010","boss","28d105edd8ffb1b903183du4E1ZY","初级全栈开发工程师","{""jobName"": ""初级全栈开发工程师"", ""salaryDesc"": ""200-250元/天"", ""jobLabels"": [""4天/周"", ""3个月"", ""本科""], ""jobValidStatus"": 1, ""iconWord"": """", ""skills"": [""全栈项目经验""], ""jobExperience"": """", ""daysPerWeekDesc"": ""4天/周"", ""leastMonthDesc"": ""3个月"", ""jobDegree"": ""本科"", ""cityName"": ""北京"", ""areaDistrict"": ""海淀区"", ""businessDistrict"": ""清河"", ""jobType"": 4, ""proxyJob"": 0, ""proxyType"": 0, ""anonymous"": 0, ""outland"": 0, ""optimal"": 0, ""iconFlagList"": [], ""city"": 101010100, ""isShield"": 0, ""atsDirectPost"": false, ""afterNameIcons"": [], ""beforeNameIcons"": [], ""brandName"": ""北京迎朋乐哉信息技术"", ""brandLogo"": ""https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png"", ""brandStageName"": """", ""brandIndustry"": ""电子商务"", ""brandScaleName"": ""0-20人"", ""welfareList"": [], ""industry"": 100001, ""showTopPosition"": false}","初级全栈开发工程师","","[""全栈项目经验""]","","[]","","{""min_years"":0,""max_years"":null}","","本科","","[""负责前后端全栈开发"",""参与产品全生命周期技术支持""]","","","",""
"jd_034","boss","8211ffbe14fe025f0nZ_3tm1GVJR","Python实习生","{""jobName"": ""Python实习生"", ""salaryDesc"": ""4-5K"", ""jobLabels"": [""1-3年"", ""大专""], ""jobValidStatus"": 1, ""iconWord"": """", ""skills"": [""爬虫经验"", ""MySQL"", ""其他"", ""HTML、CSS、ACCESS"", ""有前端经验/技能"", ""Python""], ""jobExperience"": ""1-3年"", ""daysPerWeekDesc"": """", ""leastMonthDesc"": """", ""jobDegree"": ""大专"", ""cityName"": ""北京"", ""areaDistrict"": ""海淀区"", ""businessDistrict"": ""四季青"", ""jobType"": 0, ""proxyJob"": 0, ""proxyType"": 0, ""anonymous"": 0, ""outland"": 0, ""optimal"": 0, ""iconFlagList"": [], ""city"": 101010100, ""isShield"": 0, ""atsDirectPost"": false, ""afterNameIcons"": [], ""beforeNameIcons"": [], ""brandName"": ""北京中胜国建有限公司"", ""brandLogo"": ""https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png"", ""brandStageName"": """", ""brandIndustry"": ""互联网"", ""brandScaleName"": ""100-499人"", ""welfareList"": [], ""industry"": 100020, ""showTopPosition"": false}","Python实习生","","[""爬虫经验"",""MySQL"",""其他"",""HTML、CSS、ACCESS"",""有前端经验/技能"",""Python""]","","[]","","{""min_years"":1,""max_years"":3}","","大专","","[""负责后端服务设计与开发"",""参与系统架构设计与性能优化""]","","","",""
"jd_045","boss","7fad28ddcd93fe880nB829y6FldU","全栈工程师","{""jobName"": ""全栈工程师"", ""salaryDesc"": ""15-25K"", ""jobLabels"": [""3-5年"", ""大专""], ""jobValidStatus"": 1, ""iconWord"": """", ""skills"": [""Java"", ""Node.js"", ""Spring/Spring Boot"", ""全栈项目经验""], ""jobExperience"": ""3-5年"", ""daysPerWeekDesc"": """", ""leastMonthDesc"": """", ""jobDegree"": ""大专"", ""cityName"": ""北京"", ""areaDistrict"": ""通州区"", ""businessDistrict"": ""玉桥"", ""jobType"": 0, ""proxyJob"": 0, ""proxyType"": 0, ""anonymous"": 0, ""outland"": 0, ""optimal"": 0, ""iconFlagList"": [], ""city"": 101010100, ""isShield"": 0, ""atsDirectPost"": false, ""afterNameIcons"": [], ""beforeNameIcons"": [], ""brandName"": ""湖州明锐思成信息科技"", ""brandLogo"": ""https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png"", ""brandStageName"": """", ""brandIndustry"": ""医疗服务"", ""brandScaleName"": ""500-999人"", ""welfareList"": [], ""industry"": 100402, ""showTopPosition"": false}","全栈工程师","","[""Java"",""Node.js"",""Spring/Spring Boot"",""全栈项目经验""]","","[]","","{""min_years"":3,""max_years"":5}","","大专","","[""负责前后端全栈开发"",""参与产品全生命周期技术支持""]","","","",""
"jd_064","boss","984e871b2bd2a0550nFy29q7FlVZ","Java/golang开发 大厂午休2小时 全额公积金","{""jobName"": ""Java/golang开发 大厂午休2小时 全额公积金"", ""salaryDesc"": ""25-35K·15薪"", ""jobLabels"": [""3-5年"", ""本科""], ""jobValidStatus"": 1, ""iconWord"": """", ""skills"": [""Golang"", ""Java"", ""不接受居家办公"", ""分布式经验"", ""Spring""], ""jobExperience"": ""3-5年"", ""daysPerWeekDesc"": """", ""leastMonthDesc"": """", ""jobDegree"": ""本科"", ""cityName"": ""北京"", ""areaDistrict"": ""海淀区"", ""businessDistrict"": ""万柳"", ""jobType"": 0, ""proxyJob"": 0, ""proxyType"": 0, ""anonymous"": 0, ""outland"": 0, ""optimal"": 0, ""iconFlagList"": [], ""city"": 101010100, ""isShield"": 0, ""atsDirectPost"": false, ""afterNameIcons"": [], ""beforeNameIcons"": [], ""brandName"": ""外企德科"", ""brandLogo"": ""https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png"", ""brandStageName"": """", ""brandIndustry"": ""互联网"", ""brandScaleName"": ""1000-9999人"", ""welfareList"": [], ""industry"": 100020, ""showTopPosition"": false}","软件开发工程师","","[""Golang"",""Java"",""不接受居家办公"",""分布式经验"",""Spring""]","","[]","","{""min_years"":3,""max_years"":5}","","本科","","[""负责后端服务设计与开发"",""参与系统架构设计与性能优化""]","","","",""
"jd_074","boss","34f4af06bf69c6850nF_3N65FVRQ","AI Agent/大模型应用工程师","{""jobName"": ""AI Agent/大模型应用工程师"", ""salaryDesc"": ""18-25K"", ""jobLabels"": [""1-3年"", ""本科""], ""jobValidStatus"": 1, ""iconWord"": """", ""skills"": [""算法工程化经验""], ""jobExperience"": ""1-3年"", ""daysPerWeekDesc"": """", ""leastMonthDesc"": """", ""jobDegree"": ""本科"", ""cityName"": ""北京"", ""areaDistrict"": ""海淀区"", ""businessDistrict"": ""学院路"", ""jobType"": 0, ""proxyJob"": 0, ""proxyType"": 0, ""anonymous"": 0, ""outland"": 0, ""optimal"": 0, ""iconFlagList"": [], ""city"": 101010100, ""isShield"": 0, ""atsDirectPost"": false, ""afterNameIcons"": [], ""beforeNameIcons"": [], ""brandName"": ""天穹智算"", ""brandLogo"": ""https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png"", ""brandStageName"": """", ""brandIndustry"": ""人工智能"", ""brandScaleName"": ""0-20人"", ""welfareList"": [], ""industry"": 100028, ""showTopPosition"": false}","AI Agent/大模型应用工程师","","[""算法工程化经验""]","","[]","","{""min_years"":1,""max_years"":3}","","本科","","[""负责机器学习算法的设计、训练与优化"",""参与模型工程化部署与性能调优""]","","","",""
"jd_082","boss","676594a6ac367db30nJ62ty0EFtS","AI全栈工程师","{""jobName"": ""AI全栈工程师"", ""salaryDesc"": ""15-23K"", ""jobLabels"": [""1-3年"", ""本科""], ""jobValidStatus"": 1, ""iconWord"": """", ""skills"": [""全栈无侧重"", ""JavaScript"", ""HTML"", ""CSS"", ""TypeScript"", ""React"", ""Python"", ""Django/Flask"", ""MySQL/Redis/MongoDB"", ""计算机相关专业"", ""全栈项目经验"", ""英语读写能力良好""], ""jobExperience"": ""1-3年"", ""daysPerWeekDesc"": """", ""leastMonthDesc"": """", ""jobDegree"": ""本科"", ""cityName"": ""北京"", ""areaDistrict"": ""朝阳区"", ""businessDistrict"": ""百子湾"", ""jobType"": 0, ""proxyJob"": 0, ""proxyType"": 0, ""anonymous"": 0, ""outland"": 0, ""optimal"": 0, ""iconFlagList"": [], ""city"": 101010100, ""isShield"": 0, ""atsDirectPost"": false, ""afterNameIcons"": [], ""beforeNameIcons"": [], ""brandName"": ""深度智耀"", ""brandLogo"": ""https://img.bosszhipin.com/beijin/mcs/chatphoto/20180723/f69fef672f644325b815c2e422bb6e0ccfcd208495d565ef66e7dff9f98764da.jpg"", ""brandStageName"": ""B轮"", ""brandIndustry"": ""互联网"", ""brandScaleName"": ""100-499人"", ""welfareList"": [""股票期权"", ""补充医疗保险"", ""带薪年假"", ""团建聚餐"", ""零食下午茶"", ""节日福利"", ""绩效奖金"", ""底薪加提成"", ""五险一金"", ""住房补贴""], ""industry"": 100020, ""showTopPosition"": false}","AI全栈工程师","","[""全栈无侧重"",""JavaScript"",""HTML"",""CSS"",""TypeScript"",""React"",""Python"",""Django/Flask"",""MySQL/Redis/MongoDB"",""计算机相关专业"",""全栈项目经验"",""英语读写能力良好""]","","[]","","{""min_years"":1,""max_years"":3}","","本科","","[""负责机器学习算法的设计、训练与优化"",""参与模型工程化部署与性能调优""]","","","",""
